Book ID     Book Title     Checkout Date     Return Date
1     Book_1     2019-11-25 19:48:32     2019-11-25 21:43:12
5     Book_3     2019-11-25 19:48:44     2019-12-12 10:09:02
10     Book_5     2019-11-25 19:48:53     2019-11-25 19:48:57
8     Book_4     2019-11-25 19:49:09     2019-12-12 10:04:33
7     Book_4     2019-11-25 19:49:18     2019-11-25 19:49:32
2     Book_1     2019-11-25 19:49:26     2019-12-02 18:48:28
7     Book_4     2019-11-25 21:39:39     2019-11-25 21:39:49
3     Book_2     2019-11-25 21:42:43     2019-12-12 10:04:05
1     Book_1     2019-12-02 19:01:20     2019-12-02 19:03:43
6     Book_3     2019-12-02 19:03:36     2019-12-12 10:04:21
7     Book_4     2019-12-02 19:13:56     2019-12-02 19:14:27
1     Book_1     2019-12-03 20:45:58     2019-12-03 20:47:20
1     Book_1     2019-12-03 20:47:40     2019-12-12 10:10:24
4     Book_2     2019-12-03 23:04:20     2019-12-12 10:09:15
10     Book_5     2019-12-06 10:58:20     2019-12-06 10:58:37
7     Book_4     2019-12-08 15:57:12     0
10     Book_5     2019-12-08 16:17:51     2019-12-08 16:26:04
9     Book_5     2019-12-12 10:03:39     2019-12-12 10:09:32
3     Book_2     2019-12-12 10:07:25     0
6     Book_3     2019-12-12 10:07:46     0
10     Book_5     2019-12-12 10:08:23     2019-12-12 10:10:18
2     Book_1     2019-12-12 10:09:56     2019-12-12 10:10:28
1     Book_1     2019-12-12 10:10:36     2019-12-12 10:10:50
2     Book_1     2019-12-12 10:10:46     2019-12-12 10:10:55
1     Book_1     2019-12-12 10:11:01     2019-12-13 09:47:00
9     Book_5     2019-12-12 10:11:49     2019-12-12 10:12:02
10     Book_5     2019-12-12 10:11:58     0
2     Book_1     2019-12-12 11:16:32     2019-12-12 11:16:42
5     Book_3     2019-12-12 12:19:51     0
1     Book_1     2019-12-13 09:47:04     0
